symbol,message,datetime,user,message_id
AAPL,$AAPL $AMD $NVDA $TSLA $WMT $FB $MSFT $AMZN $INTC $SPY $SNAP $TEVA $QQQ $IWM $SPX $DIA $DJIA $DVAX $GILD $EBAY $GM $GE $KO $BRK.B $BRK.A $F,2018-02-19T05:50:12Z,1185614,113458271
AAPL,"$AAPL  What are you about - a month ago was ATH 180, Feb open at 167 so where is your 25%? Just because the low was 150 not the month open!",2018-02-19T05:46:06Z,866286,113458198
AAPL,$SPY $QQQ $AAPL $UVXY Any traders here use eoption for their options trades?,2018-02-19T05:41:27Z,548485,113458122
AAPL,$AAPL Great summary of Saber Capital&#39;s 4Q17 Letter-- long thesis for Apple:  https://investoralmanac.com/2018/02/18/saber-capital-4q17-letter-2017-review-apple-and-tencent/,2018-02-19T05:32:48Z,960715,113457957
AAPL,"$MU $FB $QQQ  $AAPL $BABA  
David Tepper&#39;s Appaloosa Portfolio Jumped Nearly 50%: 13F    https://www.investopedia.com/news/13f-teppers-appaloosa-portfolio-jumped-nearly-50-q4/?partner=YahooSA&amp;yptr=yahoo",2018-02-19T04:40:03Z,349810,113456698
AAPL,$AAPL every click it seems to get higher,2018-02-19T04:32:12Z,619769,113456529
AAPL,$AAPL is currently trading in the upper part of its 52 week range. The S&amp;P500 Index is also trading in the uppe ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=TA&amp;utm_campaign=social_tracking#/AAPL?key=bb853040-a4ac-41c6-b549-d218d2f21b32,2018-02-19T04:27:05Z,47688,113456416
AAPL,"Weekly Stock Market Review:Top Tech Stocks To Buy  This Week   
http://messages.responder.co.il/3035955 $AAPL $AMD $NVDA $TSLA $WMT $FB $MSFT $AMZN $INTC $SPY",2018-02-19T03:58:48Z,1185614,113455672
AAPL,$AAPL a near term chart from 2/15 at the site http://ow.ly/fxGQG #ElliottWave #trend #Cycles #stocks  #AAPL,2018-02-19T03:47:25Z,2086,113455372
AAPL,"$AAPL and $SHOP teaming up is a great match. One established tech giant and a company with a CEO, ready for the primetime spotlight.",2018-02-19T03:27:03Z,870539,113454741
AAPL,$AAPL,2018-02-19T03:21:44Z,1187909,113454556
AAPL,$AAPL $BRK.B $BRK.A $SPY,2018-02-19T03:21:29Z,1185614,113454550
AAPL,"Here’s what 25 Estimize analysts believe $AAPL will report for Q2 iPhone Sales on 05/01 AMC.
http://www.estimize.com/intro/aapl?chart=historical&amp;metric_name=iphone_unit_sales&amp;utm_content=AAPL&amp;utm_medium=metric_update&amp;utm_source=stocktwits",2018-02-19T03:10:29Z,727510,113454119
AAPL,"Here’s what 16 Estimize analysts believe $AAPL will report for Q2 Mac Sales on 05/01 AMC.
http://www.estimize.com/intro/aapl?chart=historical&amp;metric_name=mac_unit_sales&amp;utm_content=AAPL&amp;utm_medium=metric_update&amp;utm_source=stocktwits",2018-02-19T03:10:29Z,727510,113454118
AAPL,$AAPL how many bozos on the bus at the laser&#39;s edge of the Faire?,2018-02-19T03:07:46Z,165596,113454034
AAPL,"Here’s what 10 Estimize analysts believe $AAPL will report for Q2 iPad Sales on 05/01 AMC.
http://www.estimize.com/intro/aapl?chart=historical&amp;metric_name=ipad_unit_sales&amp;utm_content=AAPL&amp;utm_medium=metric_update&amp;utm_source=stocktwits",2018-02-19T03:07:30Z,727510,113454025
AAPL,"Here’s what 16 Estimize analysts believe $AAPL will report for Q2 Gross Margins on 05/01 AMC.
http://www.estimize.com/intro/aapl?chart=historical&amp;metric_name=gross_margins&amp;utm_content=AAPL&amp;utm_medium=metric_update&amp;utm_source=stocktwits",2018-02-19T03:07:30Z,727510,113454024
AAPL,$AAPL are futures even legit this evening? I know they operate of an abbreviated schedule....,2018-02-19T03:00:12Z,1283298,113453768
AAPL,"Here’s what 237 Estimize analysts believe $AAPL will report for Q2 2018 revenue [Reporting 05/01 AMC]
http://www.estimize.com/intro/aapl?chart=historical&amp;metric_name=revenue&amp;utm_content=AAPL&amp;utm_medium=revenue_update&amp;utm_source=stocktwits",2018-02-19T02:59:55Z,727510,113453753
AAPL,$AAPL expected expansion of repurchase program 2 b announced April will reduce fully diluted share count in the range of an additional 10%,2018-02-19T02:52:24Z,165596,113453452
AAPL,$AAPL when are we seeing $200!!!,2018-02-19T02:52:18Z,1218558,113453446
AAPL,$AMZN $FB $GOOGL $GOOG $TSLA $NFLX $NVDA $X $AAPL $CMG $BABA $AMD $BA Who else is sad that the market is closed tomorrow? I sure am  =(,2018-02-19T02:36:20Z,1164958,113452842
AAPL,$AAPL ur posts are spot on lol,2018-02-19T02:31:36Z,1403823,113452684
AAPL,"$QCOM $MSFT $AAPL futures look green, expect a solid opening on Tuesday. If not long enough, Buy Long calls for Friday. Big bounce coming",2018-02-19T02:12:28Z,977407,113452010
AAPL,"somehow $AAPL might survive making $60 billion in 2018, while engaged in the biggest share repurchase program ever seen in corporate history",2018-02-19T02:07:19Z,165596,113451809
AAPL,$AAPL somehow Apple will &quot;survive&quot; making in excess of a quarter of a TRILLION dollars this year.,2018-02-19T02:04:26Z,165596,113451689
AAPL,"$AAPL The consensus revenue estimate for Apple&#39;s FY2018 is $262.88 billion, up nearly 15% year-over-year.",2018-02-19T02:01:27Z,165596,113451567
AAPL,$AAPL I expect to get paid on 250 put contracts. follow me if you want make money. Target is 148.  https://www.youtube.com/watch?v=B3eAMGXFw1o,2018-02-19T01:57:58Z,1404750,113451421
AAPL,"$AAPL https://www.youtube.com/watch?v=B3eAMGXFw1o 
I expect to get paid on my 250 call contracts. Follow me for more winning trades.",2018-02-19T01:55:31Z,1404750,113451324
AAPL,Current Non-Biotechs: $GME (1.5x) $ICON (1.5x) $AAPL $C $CEQP $TWTR $MU $GM $AEHR $LGIH $GT $DB,2018-02-19T01:48:22Z,205803,113451023
AAPL,$AAPL casually BLOCKED,2018-02-19T01:46:10Z,165596,113450959
AAPL,"$AAPL Holy Crapload, Batman!  “5 reasons the Google Pixel 3 will smash the iPhone X and Samsung Galaxy S9 in 2018”",2018-02-19T01:45:30Z,165596,113450937
AAPL,$AAPL I bought 250 put contracts . https://www.youtube.com/watch?v=bSITH6sjZNU,2018-02-19T01:20:23Z,1404750,113449992
AAPL,"$AAPL good smartphones, but all time highs?",2018-02-19T01:16:25Z,1415318,113449827
AAPL,@calvingrinder and $aapl likely shifting to other vendors.,2018-02-19T00:56:14Z,506526,113449035
